
[19-Aug-2026 18:25:57] run10 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=402.7s
[19-Aug-2026 18:29:55] run10 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=640.7s
[19-Aug-2026 18:34:38] run10 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=923.7s
[19-Aug-2026 18:38:08] run10 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1133.8s
[19-Aug-2026 18:41:48] run10 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1353.7s
[19-Aug-2026 18:45:35] run10 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1580.4s
[19-Aug-2026 18:49:52] run10 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1836.9s
[19-Aug-2026 18:54:12] run10 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2097.2s
[19-Aug-2026 18:58:51] run10 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2376.1s
[19-Aug-2026 19:03:57] run10 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2682.6s
[19-Aug-2026 19:08:42] run10 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=2967.1s
[19-Aug-2026 19:13:29] run10 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3253.9s
[19-Aug-2026 19:18:40] run10 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3565.0s
[19-Aug-2026 19:23:42] run10 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=3866.9s
[19-Aug-2026 19:23:42] run10 DONE best(penalized)=0.0000 raw=0.0000 elapsed=3866.9s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run10_CAMPAIGN.mat
[19-Aug-2026 19:27:18] run11 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=216.3s
