FE,IGD_mean,IGD_std,HV_mean,HV_std
4300,0.000486519498407754,0.000863730357428717,41652.9696261036,5.74800285355413
4350,0.000468966591090188,0.000868091064970995,41652.9698077209,5.74803718650718
4400,0.000468966591090188,0.000868091064970995,41652.9698077209,5.74803718650718
4450,0.000457706672556618,0.000864428812794107,41652.9701576214,5.74652716743838
4500,0.000456505144636844,0.000864631253306197,41652.9701706787,5.74652963547466
4550,0.000443682457436891,0.000864787255900342,41652.9704745815,5.7465868479266
4600,0.000438842115402059,0.000865694444628215,41652.9705318225,5.74659766671739
4650,0.000435740888439797,0.000865228578592037,41652.9705594903,5.74660283858529
4700,0.000431335067227339,0.000865531901135385,41652.970606367,5.74661166720575
4750,0.000426908860511088,0.000867448685959571,41652.9706232819,5.7466148666937
4800,0.000423246781248677,0.000868233162325977,41652.9706678505,5.74662328599335
4850,0.000414689522764564,0.000869569392754899,41652.9707357802,5.74663608703848
4900,0.000410301763640661,0.000870505415263294,41652.970751446,5.74663904882796
4950,0.000405985073992545,0.000871347362894446,41652.9707763843,5.74664376102296
5000,0.000403919153693754,0.000871156372019906,41652.9710404373,5.74669314198779
5050,0.000403919153693754,0.000871156372019906,41652.9710404373,5.74669314198779
5100,0.000403919153693754,0.000871156372019906,41652.9710404373,5.74669314198779
5150,0.00040390393753039,0.00087115906735713,41652.9710585832,5.74669657162797
5200,0.000395628596286876,0.000873784175396259,41652.9710755235,5.74669977112066
5250,0.00038496207245437,0.000875782924130406,41652.9710877476,5.74670208084804
5300,0.00038496207245437,0.000875782924130406,41652.9710877476,5.74670208084804
5350,0.000387303438807141,0.000874366752253507,41652.9711046625,5.7467052767499
5400,0.000368030346529891,0.000876208217084575,41652.9714188607,5.74676443793098
5450,0.000362547583201369,0.000877419029432487,41652.9714536015,5.74677100104274
5500,0.000360701796491287,0.000877861982994251,41652.9714659862,5.74677334048444
5550,0.000348448679644904,0.000881476865481534,41652.9715347275,5.74678632880522
5600,0.000352763554886358,0.000880028007023292,41652.9715229972,5.74678411183385
5650,0.000346972422045019,0.000881884668628075,41652.9715158054,5.74678275266802
5700,0.000230959105025778,0.0003236106113249,41653.5331458813,2.67218403583152
5750,0.000235244669940528,0.000321289539031507,41653.5331342906,2.67218184475214
5800,0.000233864133615373,0.000321385929023173,41653.5331512055,2.67218503888209
5850,0.000195167970533853,0.000171096433502927,41653.7853721086,1.29101327887579
5900,0.000193036921129297,0.000169295055158218,41653.7853908285,1.29101681650549
5950,0.000191781210672724,0.000169041043274962,41653.7854109346,1.29102061545762
6000,0.000188559615564539,0.000169219574683394,41653.7854292519,1.29102407078172
6050,0.000171079516049654,0.000111889382406013,41654.0210675223,0.000691186143082977
6100,0.000170079996234472,0.000110842968900354,41654.0210973984,0.000677781892931135
6150,0.000165698054179297,0.000114945005311635,41654.021109629,0.000683968423399547
