[2026-09-12 16:04:27] === watchdog_campaign start: Proj=A Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-12 16:04:30] ----- Bat dau run01 (1/20) -----
[2026-09-12 17:49:27] run03 : poll - elapsed=220s log_stale=14s
[2026-09-12 17:49:47] run03 : poll - elapsed=240s log_stale=34s
[2026-09-12 17:50:07] run03 : poll - elapsed=260s log_stale=54s
[2026-09-12 17:50:27] run03 : poll - elapsed=280s log_stale=74s
[2026-09-12 17:50:47] run03 : poll - elapsed=300s log_stale=94s
[2026-09-12 17:51:07] run03 : poll - elapsed=320s log_stale=114s
[2026-09-12 17:51:27] run03 : poll - elapsed=340s log_stale=134s
[2026-09-12 17:51:47] run03 : poll - elapsed=360s log_stale=14s
[2026-09-12 17:52:07] run03 : poll - elapsed=380s log_stale=34s
[2026-09-12 17:52:27] run03 : poll - elapsed=400s log_stale=54s
[2026-09-12 17:52:47] run03 : poll - elapsed=420s log_stale=74s
[2026-09-12 17:53:07] run03 : poll - elapsed=440s log_stale=94s
[2026-09-12 17:53:28] run03 : poll - elapsed=460s log_stale=114s
[2026-09-12 17:53:48] run03 : poll - elapsed=480s log_stale=134s
[2026-09-12 17:54:08] run03 : poll - elapsed=500s log_stale=13s
[2026-09-12 17:54:28] run03 : poll - elapsed=520s log_stale=33s
[2026-09-12 17:54:48] run03 : poll - elapsed=540s log_stale=53s
[2026-09-12 17:55:08] run03 : poll - elapsed=560s log_stale=73s
[2026-09-12 17:55:28] run03 : poll - elapsed=581s log_stale=93s
[2026-09-12 17:55:48] run03 : poll - elapsed=601s log_stale=113s
[2026-09-12 17:56:08] run03 : poll - elapsed=621s log_stale=133s
[2026-09-12 17:56:28] run03 : poll - elapsed=641s log_stale=12s
[2026-09-12 17:56:48] run03 : poll - elapsed=661s log_stale=32s
[2026-09-12 17:57:08] run03 : poll - elapsed=681s log_stale=52s
[2026-09-12 17:57:28] run03 : poll - elapsed=701s log_stale=72s
[2026-09-12 17:57:48] run03 : poll - elapsed=721s log_stale=92s
[2026-09-12 17:58:08] run03 : poll - elapsed=741s log_stale=112s
[2026-09-12 17:58:28] run03 : poll - elapsed=761s log_stale=132s
[2026-09-12 17:58:48] run03 : poll - elapsed=781s log_stale=11s
[2026-09-12 17:59:08] run03 : poll - elapsed=801s log_stale=31s
[2026-09-12 17:59:28] run03 : poll - elapsed=821s log_stale=51s
[2026-09-12 17:59:48] run03 : poll - elapsed=841s log_stale=71s
[2026-09-12 18:00:08] run03 : poll - elapsed=861s log_stale=92s
[2026-09-12 18:00:28] run03 : poll - elapsed=881s log_stale=112s
[2026-09-12 18:00:48] run03 : poll - elapsed=901s log_stale=132s
[2026-09-12 18:01:08] run03 : poll - elapsed=921s log_stale=12s
[2026-09-12 18:01:28] run03 : poll - elapsed=941s log_stale=32s
[2026-09-12 18:01:48] run03 : poll - elapsed=961s log_stale=52s
[2026-09-12 18:02:08] run03 : poll - elapsed=981s log_stale=72s
[2026-09-12 18:02:28] run03 : poll - elapsed=1001s log_stale=92s
[2026-09-12 18:02:48] run03 : poll - elapsed=1021s log_stale=112s
[2026-09-12 18:03:08] run03 : poll - elapsed=1041s log_stale=132s
[2026-09-12 18:03:28] run03 : poll - elapsed=1061s log_stale=12s
[2026-09-12 18:03:48] run03 : poll - elapsed=1081s log_stale=32s
[2026-09-12 18:04:08] run03 : poll - elapsed=1101s log_stale=52s
[2026-09-12 18:04:28] run03 : poll - elapsed=1121s log_stale=72s
[2026-09-12 18:04:48] run03 : poll - elapsed=1141s log_stale=92s
[2026-09-12 18:05:08] run03 : poll - elapsed=1161s log_stale=112s
