[2026-09-11 17:56:52] === watchdog_campaign start: Proj=B Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-11 17:56:55] ----- Bat dau run01 (1/20) -----
[2026-09-11 19:55:09] run02 : poll - elapsed=3103s log_stale=77s
[2026-09-11 19:55:29] run02 : poll - elapsed=3123s log_stale=97s
[2026-09-11 19:55:49] run02 : poll - elapsed=3143s log_stale=117s
[2026-09-11 19:56:09] run02 : poll - elapsed=3163s log_stale=137s
[2026-09-11 19:56:29] run02 : poll - elapsed=3183s log_stale=157s
[2026-09-11 19:56:49] run02 : poll - elapsed=3203s log_stale=177s
[2026-09-11 19:57:09] run02 : poll - elapsed=3223s log_stale=15s
[2026-09-11 19:57:29] run02 : poll - elapsed=3243s log_stale=35s
[2026-09-11 19:57:49] run02 : poll - elapsed=3263s log_stale=55s
[2026-09-11 19:58:09] run02 : poll - elapsed=3283s log_stale=75s
[2026-09-11 19:58:29] run02 : poll - elapsed=3303s log_stale=95s
