frame,pile_type,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,orientation,spring_K33_tm,Y_s,Z_s,on_segment,H0_vertical_m,H0_along_axis_m,applicable_cases,D_m,t_m,E_Tm2,I_m4,b_equiv_m
74,BTCT_D800,20.4,-15.75,5.5,20.4,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
75,BTCT_D800,20.4,-10.5,5.5,20.4,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
76,BTCT_D800,25.5,-21.0,5.5,25.5,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
77,BTCT_D800,25.5,-15.75,5.5,25.5,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
78,BTCT_D800,25.5,-10.5,5.5,25.5,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
79,BTCT_D800,30.6,-21.0,5.5,30.6,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
80,BTCT_D800,30.6,-15.75,5.5,30.6,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
81,BTCT_D800,30.6,-10.5,5.5,30.6,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
82,BTCT_D800,66.3,18.0,5.5,66.3,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
83,BTCT_D800,35.7,-21.0,5.5,35.7,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
84,BTCT_D800,35.7,-15.75,5.5,35.7,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
85,BTCT_D800,35.7,-10.5,5.5,35.7,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
86,BTCT_D800,71.4,18.0,5.5,71.4,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
87,BTCT_D800,40.8,-21.0,5.5,40.8,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
88,BTCT_D800,0.0,26.0,5.5,9e-16,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
89,BTCT_D800,40.8,-15.75,5.5,40.8,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
90,BTCT_D800,5.1,26.0,5.5,5.1,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
91,BTCT_D800,40.8,-10.5,5.5,40.8,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
92,BTCT_D800,10.2,26.0,5.5,10.2,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
93,BTCT_D800,45.9,-21.0,5.5,45.9,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
94,BTCT_D800,15.3,26.0,5.5,15.3,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
95,BTCT_D800,45.9,-15.75,5.5,45.9,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
96,BTCT_D800,20.4,26.0,5.5,20.4,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
97,BTCT_D800,45.9,-10.5,5.5,45.9,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
98,BTCT_D800,25.5,26.0,5.5,25.5,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
99,BTCT_D800,51.0,-21.0,5.5,51.0,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
100,BTCT_D800,30.6,26.0,5.5,30.6,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
101,BTCT_D800,51.0,-15.75,5.5,51.0,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
103,BTCT_D800,35.7,26.0,5.5,35.7,26.0,-22.7,28.2,,vertical,3000000.0,26.0,0.870000000000001,True,4.629999999999999,4.629999999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
104,BTCT_D800,51.0,-10.5,5.5,51.0,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
